chat_file_name,utterance_id,speaker,DA_Label
274-0,0,*INV,['Instruction']
274-0,1,*PAR,['Answer: t4']
274-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
274-0,3,*PAR,['Answer: t6']
274-0,4,*PAR,['Answer: t6']
274-0,5,*PAR,"['Answer: t6', 'Answer: t5']"
274-0,6,*PAR,"['Answer: t6', 'Answer: t5']"
274-0,7,*PAR,['Answer: t2']
274-0,8,*PAR,['Answer: t1']
274-0,9,*PAR,['Answer: t4']
274-0,10,*PAR,['Answer: t2']
274-0,11,*INV,['Question: General']
274-0,12,*PAR,['Request: Clarification']
274-0,13,*PAR,['Request: Clarification']
274-0,14,*INV,['Answer: General']
274-0,15,*PAR,['Answer: General']
274-0,16,*PAR,['Answer: General']
274-0,17,*INV,['Acknowledgment']
280-1,0,*PAR,['Acknowledgment']
280-1,1,*PAR,['Answer: t6']
280-1,2,*PAR,"['Answer: t5', 'Answer: t8']"
280-1,3,*PAR,['Answer: t2']
280-1,4,*PAR,['Answer: t4']
280-1,5,*PAR,['Answer: t1']
280-1,6,*PAR,['Correction']
280-1,7,*PAR,['Answer: General']
280-1,8,*INV,['Acknowledgment']
296-0,0,*INV,['Instruction']
296-0,1,*PAR,"['Answer: t6', 'Answer: t5']"
296-0,2,*PAR,['Answer: t8']
296-0,3,*PAR,"['Answer: t2', 'Answer: t1']"
296-0,4,*PAR,['Answer: t4']
296-0,5,*PAR,['Answer: t3']
296-0,6,*PAR,"['Answer: t6', 'Answer: t5']"
296-0,7,*INV,['Acknowledgment']
297-2,0,*PAR,"['Answer: t6', 'Answer: t5']"
297-2,1,*PAR,"['Answer: t6', 'Answer: t8']"
297-2,2,*PAR,['Answer: t2']
297-2,3,*PAR,['Answer: t4']
297-2,4,*PAR,['Answer: t1']
297-2,5,*PAR,"['Answer: t5', 'Answer: t6']"
297-2,6,*INV,['Acknowledgment']
297-2,7,*PAR,['Answer: t1']
297-2,8,*PAR,['Request: Clarification']
297-2,9,*INV,['Answer: General']
297-2,10,*INV,['Question: General']
297-2,11,*PAR,['Answer: No']
297-2,12,*PAR,['Question: General']
297-2,13,*INV,['Answer: General']
298-1,0,*INV,['Instruction']
298-1,1,*INV,['Instruction']
298-1,2,*PAR,['Acknowledgment']
298-1,3,*PAR,"['Answer: t6', 'Answer: t5', 'Answer: t8']"
298-1,4,*PAR,['Answer: t6']
298-1,5,*PAR,"['Answer: t2', 'Answer: t1']"
298-1,6,*PAR,['Answer: t4']
298-1,7,*PAR,['Answer: t3']
298-1,8,*PAR,['Request: Clarification']
298-1,9,*PAR,['Request: Clarification']
298-1,10,*INV,['Answer: General']
298-1,11,*PAR,['Acknowledgment']
298-1,12,*PAR,['Answer: General']
298-1,13,*INV,['Acknowledgment']
298-1,14,*INV,['Farewell']
299-1,0,*INV,['Instruction']
299-1,1,*INV,['Instruction']
299-1,2,*INV,['Instruction']
299-1,3,*PAR,"['Answer: t6', 'Answer: t8']"
299-1,4,*PAR,"['Answer: t2', 'Answer: t6', 'Answer: t4']"
299-1,5,*PAR,['Answer: t1']
299-1,6,*PAR,['Answer: General']
299-1,7,*PAR,['Answer: t2']
299-1,8,*PAR,['Request: Clarification']
299-1,9,*INV,['Answer: Yes']
299-1,10,*PAR,['Answer: General']
299-1,11,*INV,['Acknowledgment']
299-1,12,*PAR,['Answer: t6']
299-1,13,*INV,['Acknowledgment']
304-2,0,*INV,['Instruction']
304-2,1,*INV,['Instruction']
304-2,2,*INV,['Instruction']
304-2,3,*PAR,['Answer: t4']
304-2,4,*PAR,['Answer: t8']
304-2,5,*PAR,"['Answer: t6', 'Answer: t5']"
304-2,6,*PAR,"['Answer: t2', 'Answer: t6', 'Answer: t4']"
304-2,7,*PAR,['Answer: t2']
304-2,8,*PAR,['Answer: t4']
304-2,9,*PAR,"['Answer: t5', 'Answer: t8']"
304-2,10,*PAR,"['Answer: t6', 'Answer: t5']"
304-2,11,*PAR,['Answer: General']
304-2,12,*INV,['Acknowledgment']
318-1,0,*INV,['Acknowledgment']
318-1,1,*INV,['Instruction']
318-1,2,*PAR,['Stalling']
318-1,3,*PAR,"['Answer: t6', 'Answer: t5', 'Answer: t8']"
318-1,4,*PAR,"['Answer: t6', 'Answer: t5']"
318-1,5,*PAR,['Answer: t6']
318-1,6,*PAR,"['Answer: t2', 'Answer: t1', 'Answer: t4']"
318-1,7,*PAR,['Answer: t1']
318-1,8,*PAR,['Feedback: Reflexive']
318-1,9,*INV,['Acknowledgment']
322-1,0,*INV,['Instruction']
322-1,1,*INV,['Instruction']
322-1,2,*PAR,['Request: Clarification']
322-1,3,*PAR,['Answer: t4']
322-1,4,*PAR,['Answer: t2']
322-1,5,*PAR,['Answer: t4']
322-1,6,*PAR,['Answer: t6']
322-1,7,*PAR,"['Answer: t5', 'Answer: t8']"
322-1,8,*PAR,"['Answer: t6', 'Answer: t5']"
322-1,9,*PAR,['Answer: t1']
322-1,10,*PAR,['Answer: General']
322-1,11,*INV,['Acknowledgment']
323-0,0,*INV,['Instruction']
323-0,1,*PAR,['Answer: t4']
323-0,2,*PAR,['Answer: t2']
323-0,3,*PAR,"['Answer: t6', 'Answer: t5']"
323-0,4,*PAR,"['Answer: t5', 'Answer: t8']"
323-0,5,*PAR,['Answer: t8']
323-0,6,*PAR,"['Answer: t6', 'Answer: t8']"
323-0,7,*PAR,['Answer: t1']
323-0,8,*PAR,['Answer: t1']
323-0,9,*PAR,['Answer: t1']
323-0,10,*PAR,['Answer: t1']
323-0,11,*PAR,['Answer: t1']
323-0,12,*PAR,"['Answer: t2', 'Answer: t3']"
323-0,13,*PAR,['Answer: t2']
323-0,14,*PAR,['Answer: t2']
323-0,15,*PAR,['Answer: t2']
323-0,16,*PAR,['Answer: t2']
323-0,17,*PAR,['Answer: t3']
323-0,18,*PAR,['Answer: t4']
323-0,19,*PAR,['Answer: t1']
323-0,20,*PAR,['Answer: General']
323-0,21,*PAR,"['Answer: t8', 'Answer: t4']"
323-0,22,*PAR,['Answer: t3']
323-0,23,*INV,['Acknowledgment']
323-0,24,*PAR,['Question: General']
332-0,0,*PAR,['Answer: t4']
332-0,1,*PAR,"['Answer: t6', 'Answer: t5']"
332-0,2,*PAR,['Answer: t8']
332-0,3,*PAR,['Answer: t6']
332-0,4,*PAR,['Answer: t2']
332-0,5,*INV,['Question: General']
332-0,6,*PAR,['Answer: No']
336-1,0,*INV,['Instruction']
336-1,1,*INV,['Instruction']
336-1,2,*PAR,['Request: Clarification']
336-1,3,*INV,['Answer: General']
336-1,4,*PAR,['Other']
336-1,5,*INV,['Instruction']
336-1,6,*PAR,['Request: Clarification']
336-1,7,*INV,['Answer: General']
336-1,8,*PAR,['Acknowledgment']
336-1,9,*PAR,"['Answer: t5', 'Answer: t6', 'Answer: t8']"
336-1,10,*PAR,['Answer: t6']
336-1,11,*PAR,"['Answer: t2', 'Answer: t4']"
336-1,12,*PAR,['Answer: t1']
336-1,13,*PAR,['Answer: t2']
336-1,14,*PAR,['Answer: t6']
336-1,15,*INV,['Acknowledgment']
336-1,16,*PAR,['Answer: General']
336-1,17,*INV,['Farewell']
340-0,0,*PAR,['Acknowledgment']
340-0,1,*PAR,['Answer: t4']
340-0,2,*PAR,"['Answer: t2', 'Answer: t4']"
340-0,3,*PAR,['Answer: t2']
340-0,4,*PAR,['Answer: t2']
340-0,5,*PAR,"['Answer: t6', 'Answer: t5', 'Answer: t8']"
340-0,6,*PAR,['Answer: t1']
340-0,7,*PAR,['Answer: General']
340-0,8,*PAR,"['Answer: t6', 'Answer: t5']"
340-0,9,*PAR,['Stalling']
340-0,10,*PAR,['Answer: t1']
340-0,11,*PAR,"['Answer: t2', 'Answer: t3']"
340-0,12,*PAR,['Answer: t2']
340-0,13,*PAR,['Acknowledgment']
340-0,14,*PAR,['Answer: t6']
527-0,0,*PAR,"['Answer: t6', 'Answer: t5']"
527-0,1,*PAR,['Answer: t6']
527-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
527-0,3,*PAR,['Answer: t2']
527-0,4,*PAR,"['Answer: t2', 'Answer: t3']"
527-0,5,*PAR,['Answer: t4']
527-0,6,*PAR,['Answer: t4']
527-0,7,*PAR,['Answer: t2']
527-0,8,*PAR,"['Answer: t6', 'Answer: t5']"
527-0,9,*PAR,"['Answer: t5', 'Answer: t8']"
527-0,10,*INV,['Acknowledgment']
527-0,11,*PAR,['Answer: t4']
527-0,12,*INV,['Acknowledgment']
551-0,0,*INV,['Instruction']
551-0,1,*INV,['Instruction']
551-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
551-0,3,*PAR,['Answer: t2']
551-0,4,*PAR,['Answer: t2']
551-0,5,*PAR,['Feedback: Reflexive']
551-0,6,*PAR,['Answer: t4']
551-0,7,*INV,['Acknowledgment']
551-0,8,*PAR,['Request: Clarification']
551-0,9,*PAR,['Stalling']
551-0,10,*PAR,['Answer: t3']
551-0,11,*PAR,['Answer: t3']
551-0,12,*PAR,['Answer: t2']
551-0,13,*PAR,['Request: Clarification']
551-0,14,*PAR,['Answer: General']
551-0,15,*PAR,['Question: General']
551-0,16,*INV,['Answer: No']
551-0,17,*PAR,['Answer: t2']
551-0,18,*INV,['Instruction']
551-0,19,*PAR,['Stalling']
551-0,20,*INV,['Instruction']
551-0,21,*PAR,['Answer: t2']
551-0,22,*INV,['Acknowledgment']
551-0,23,*PAR,"['Answer: t2', 'Answer: t4']"
551-0,24,*PAR,['Answer: t4']
551-0,25,*PAR,"['Answer: t8', 'Answer: t5']"
551-0,26,*PAR,"['Answer: t6', 'Answer: t7']"
551-0,27,*INV,['Acknowledgment']
559-0,0,*INV,['Instruction']
559-0,1,*INV,['Instruction']
559-0,2,*INV,['Instruction']
559-0,3,*PAR,['Answer: t4']
559-0,4,*PAR,['Answer: t2']
559-0,5,*PAR,"['Answer: t5', 'Answer: t8']"
559-0,6,*PAR,['Answer: t6']
559-0,7,*PAR,['Stalling']
559-0,8,*PAR,['Answer: t6']
559-0,9,*PAR,['Stalling']
559-0,10,*INV,['Farewell']
581-0,0,*INV,['Question: General']
581-0,1,*PAR,['Answer: t4']
581-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
581-0,3,*PAR,['Answer: t4']
581-0,4,*PAR,['Stalling']
581-0,5,*INV,['Request: Clarification']
581-0,6,*PAR,['Answer: t4']
581-0,7,*PAR,['Answer: t4']
581-0,8,*INV,['Acknowledgment']
581-0,9,*PAR,['Answer: t6']
581-0,10,*PAR,['Answer: General']
581-0,11,*INV,['Acknowledgment']
612-0,0,*INV,['Instruction']
612-0,1,*INV,['Instruction']
612-0,2,*INV,['Instruction']
612-0,3,*PAR,"['Answer: t6', 'Answer: t5']"
612-0,4,*PAR,['Answer: t6']
612-0,5,*PAR,"['Answer: t5', 'Answer: t8']"
612-0,6,*PAR,['Answer: t2']
612-0,7,*PAR,['Answer: t4']
612-0,8,*PAR,['Answer: t1']
612-0,9,*PAR,['Answer: t1']
612-0,10,*PAR,['Answer: General']
612-0,11,*PAR,['Answer: t6']
612-0,12,*INV,['Acknowledgment']
612-0,13,*PAR,['Answer: t6']
612-0,14,*PAR,['Answer: General']
612-0,15,*INV,['Acknowledgment']
627-0,0,*INV,['Instruction']
627-0,1,*INV,['Instruction']
627-0,2,*PAR,['Request: Clarification']
627-0,3,*INV,['Answer: Yes']
627-0,4,*PAR,"['Answer: t6', 'Answer: t5']"
627-0,5,*PAR,['Answer: t8']
627-0,6,*PAR,['Answer: t6']
627-0,7,*PAR,['Answer: t2']
627-0,8,*PAR,['Answer: t4']
627-0,9,*PAR,['Answer: t1']
627-0,10,*PAR,"['Answer: t5', 'Answer: t8']"
627-0,11,*PAR,['Answer: t6']
627-0,12,*PAR,['Answer: t6']
627-0,13,*PAR,['Answer: t6']
627-0,14,*INV,['Question: General']
627-0,15,*PAR,['Answer: Yes']
639-0,0,*INV,['Instruction']
639-0,1,*INV,['Instruction']
639-0,2,*INV,['Instruction']
639-0,3,*PAR,['Answer: t4']
639-0,4,*PAR,['Answer: t2']
639-0,5,*PAR,"['Answer: t6', 'Answer: t8']"
639-0,6,*PAR,['Answer: t6']
639-0,7,*PAR,['Answer: t4']
639-0,8,*PAR,['Answer: t1']
639-0,9,*INV,['Question: General']
639-0,10,*INV,['Question: General']
639-0,11,*PAR,['Answer: Yes']
640-0,0,*PAR,"['Answer: t6', 'Answer: t5']"
640-0,1,*PAR,['Answer: t2']
640-0,2,*PAR,['Answer: t4']
640-0,3,*PAR,"['Answer: t5', 'Answer: t8']"
640-0,4,*PAR,['Answer: t6']
640-0,5,*PAR,['Answer: t6']
640-0,6,*INV,['Acknowledgment']
642-0,0,*INV,['Instruction']
642-0,1,*INV,['Instruction']
642-0,2,*PAR,['Acknowledgment']
642-0,3,*INV,['Instruction']
642-0,4,*PAR,['Request: Clarification']
642-0,5,*INV,['Answer: Yes']
642-0,6,*PAR,['Answer: General']
642-0,7,*PAR,"['Answer: t6', 'Answer: t5']"
642-0,8,*PAR,"['Answer: t5', 'Answer: t8']"
642-0,9,*PAR,['Feedback: Reflexive']
642-0,10,*PAR,['Question: Reflexive']
642-0,11,*PAR,['Answer: t6']
642-0,12,*PAR,['Answer: t2']
642-0,13,*PAR,"['Answer: t2', 'Answer: t4']"
642-0,14,*PAR,['Answer: t3']
642-0,15,*PAR,['Answer: t1']
642-0,16,*PAR,['Question: Reflexive']
642-0,17,*PAR,['Feedback: Reflexive']
642-0,18,*INV,['Farewell']
648-0,0,*INV,['Instruction']
648-0,1,*INV,['Instruction']
648-0,2,*PAR,['Request: Clarification']
648-0,3,*PAR,"['Answer: t6', 'Answer: t8']"
648-0,4,*PAR,"['Answer: t2', 'Answer: t4']"
648-0,5,*PAR,['Answer: t2']
648-0,6,*PAR,['Answer: t4']
648-0,7,*PAR,['Answer: t4']
648-0,8,*PAR,['Answer: t1']
648-0,9,*PAR,['Answer: t1']
648-0,10,*PAR,['Answer: General']
648-0,11,*PAR,['Answer: t4']
648-0,12,*INV,['Question: General']
648-0,13,*PAR,['Answer: Yes']
650-0,0,*PAR,"['Answer: t6', 'Answer: t5']"
650-0,1,*PAR,['Answer: t6']
650-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
650-0,3,*PAR,['Answer: t6']
650-0,4,*PAR,['Question: General']
650-0,5,*INV,['Answer: Yes']
650-0,6,*PAR,['Acknowledgment']
650-0,7,*PAR,['Request: Clarification']
650-0,8,*INV,['Answer: General']
650-0,9,*PAR,['Feedback: Reflexive']
650-0,10,*PAR,['Answer: t2']
650-0,11,*PAR,['Stalling']
650-0,12,*PAR,"['Answer: t6', 'Answer: t5']"
650-0,13,*PAR,['Answer: t2']
650-0,14,*PAR,['Answer: t4']
650-0,15,*PAR,"['Answer: t1', 'Answer: t2']"
650-0,16,*PAR,['Question: General']
650-0,17,*INV,['Answer: No']
650-0,18,*PAR,['Question: Reflexive']
650-0,19,*PAR,['Feedback: Reflexive']
650-0,20,*INV,['Acknowledgment']
651-0,0,*INV,['Instruction']
651-0,1,*INV,['Instruction']
651-0,2,*PAR,['Answer: t6']
651-0,3,*INV,['Acknowledgment']
651-0,4,*PAR,"['Answer: t5', 'Answer: t8']"
651-0,5,*PAR,['Answer: t4']
651-0,6,*PAR,['Stalling']
651-0,7,*INV,['Question: General']
651-0,8,*PAR,['Answer: Yes']
651-0,9,*INV,['Acknowledgment']
656-0,0,*PAR,['Answer: t4']
656-0,1,*PAR,['Answer: t2']
656-0,2,*PAR,"['Answer: t6', 'Answer: t8']"
656-0,3,*PAR,['Answer: t6']
656-0,4,*PAR,['Answer: t2']
656-0,5,*PAR,['Answer: t1']
656-0,6,*PAR,['Question: General']
656-0,7,*INV,['Answer: General']
657-0,0,*INV,['Instruction']
657-0,1,*INV,['Instruction']
657-0,2,*PAR,['Answer: t2']
657-0,3,*PAR,"['Answer: t6', 'Answer: t5']"
657-0,4,*PAR,['Answer: t8']
657-0,5,*PAR,['Answer: t6']
657-0,6,*INV,['Acknowledgment']
657-0,7,*PAR,['Answer: t4']
657-0,8,*INV,['Question: General']
657-0,9,*PAR,['Answer: General']
657-0,10,*PAR,['Answer: General']
657-0,11,*INV,['Acknowledgment']
660-0,0,*INV,['Question: General']
660-0,1,*PAR,"['Answer: t6', 'Answer: t5']"
660-0,2,*INV,['Acknowledgment']
660-0,3,*PAR,['Answer: t6']
660-0,4,*PAR,['Answer: t6']
660-0,5,*PAR,['Answer: t8']
660-0,6,*INV,['Acknowledgment']
660-0,7,*PAR,['Answer: t6']
660-0,8,*INV,['Question: General']
660-0,9,*PAR,['Answer: t4']
660-0,10,*INV,['Acknowledgment']
660-0,11,*PAR,['Feedback: Reflexive']
660-0,12,*PAR,['Feedback: Reflexive']
660-0,13,*INV,['Acknowledgment']
661-0,0,*INV,['Instruction']
661-0,1,*INV,['Instruction']
661-0,2,*PAR,['Request: Clarification']
661-0,3,*INV,['Answer: Yes']
661-0,4,*PAR,"['Answer: t6', 'Answer: t5']"
661-0,5,*PAR,"['Answer: t5', 'Answer: t8']"
661-0,6,*PAR,['Answer: t6']
661-0,7,*PAR,['Answer: t2']
661-0,8,*PAR,['Answer: t4']
661-0,9,*PAR,['Answer: t4']
661-0,10,*PAR,['Answer: t1']
661-0,11,*PAR,"['Answer: t2', 'Answer: t6', 'Answer: t5']"
661-0,12,*PAR,['Answer: t6']
661-0,13,*PAR,"['Answer: t4', 'Answer: t8']"
661-0,14,*PAR,"['Answer: t5', 'Answer: t6', 'Answer: t2']"
661-0,15,*INV,['Acknowledgment']
663-0,0,*PAR,"['Answer: t6', 'Answer: t5', 'Answer: t8']"
663-0,1,*PAR,['Answer: t2']
663-0,2,*PAR,['Answer: t4']
663-0,3,*PAR,['Answer: t4']
663-0,4,*PAR,['Answer: t1']
663-0,5,*PAR,['Answer: t1']
663-0,6,*PAR,['Answer: General']
663-0,7,*INV,['Acknowledgment']
668-0,0,*INV,['Instruction']
668-0,1,*INV,['Instruction']
668-0,2,*PAR,"['Answer: t6', 'Answer: t5']"
668-0,3,*PAR,['Answer: t8']
668-0,4,*PAR,['Answer: t6']
668-0,5,*PAR,"['Answer: t2', 'Answer: t4']"
668-0,6,*PAR,['Answer: t4']
668-0,7,*PAR,['Answer: t2']
668-0,8,*PAR,['Request: Clarification']
668-0,9,*INV,['Answer: Yes']
668-0,10,*PAR,['Answer: t4']
668-0,11,*PAR,['Answer: t4']
668-0,12,*PAR,['Answer: t4']
668-0,13,*PAR,['Answer: General']
668-0,14,*PAR,['Answer: General']
668-0,15,*INV,['Acknowledgment']
668-0,16,*PAR,['Answer: t1']
668-0,17,*PAR,['Answer: General']
668-0,18,*INV,['Acknowledgment']
672-0,0,*INV,['Instruction']
672-0,1,*INV,['Question: General']
672-0,2,*PAR,['Answer: t4']
672-0,3,*PAR,"['Answer: t6', 'Answer: t8']"
672-0,4,*INV,['Acknowledgment']
672-0,5,*PAR,['Answer: General']
672-0,6,*INV,['Question: General']
672-0,7,*PAR,"['Answer: t6', 'Answer: t8']"
672-0,8,*INV,['Acknowledgment']
672-0,9,*PAR,['Answer: t6']
672-0,10,*PAR,['Answer: General']
672-0,11,*INV,['Acknowledgment']
674-0,0,*INV,['Instruction']
674-0,1,*INV,['Instruction']
674-0,2,*PAR,"['Answer: t6', 'Answer: t5']"
674-0,3,*PAR,['Answer: t6']
674-0,4,*PAR,['Answer: t2']
674-0,5,*PAR,['Answer: t4']
674-0,6,*PAR,['Answer: t3']
674-0,7,*INV,['Farewell']
676-0,0,*INV,['Instruction']
676-0,1,*PAR,"['Answer: t6', 'Answer: t8']"
676-0,2,*PAR,['Answer: t2']
676-0,3,*PAR,['Question: General']
676-0,4,*INV,['Answer: General']
676-0,5,*PAR,['Answer: General']
676-0,6,*INV,['Question: General']
676-0,7,*PAR,['Answer: Yes']
676-0,8,*INV,['Acknowledgment']
678-0,0,*INV,['Instruction']
678-0,1,*PAR,['Answer: t4']
678-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
678-0,3,*PAR,['Answer: t6']
678-0,4,*PAR,['Answer: t6']
678-0,5,*PAR,['Answer: General']
678-0,6,*INV,['Acknowledgment']
678-0,7,*PAR,['Answer: t2']
678-0,8,*INV,['Acknowledgment']
678-0,9,*PAR,['Answer: t3']
678-0,10,*PAR,['Answer: t6']
678-0,11,*PAR,['Answer: t6']
678-0,12,*PAR,"['Answer: t6', 'Answer: t5']"
678-0,13,*INV,['Farewell']
681-0,0,*INV,['Instruction']
681-0,1,*INV,['Instruction']
681-0,2,*PAR,"['Answer: t2', 'Answer: t6']"
681-0,3,*PAR,"['Answer: t2', 'Answer: t5', 'Answer: t6']"
681-0,4,*PAR,['Answer: t4']
681-0,5,*PAR,"['Answer: t2', 'Answer: t5', 'Answer: t6']"
681-0,6,*PAR,['Stalling']
681-0,7,*PAR,['Stalling']
681-0,8,*INV,['Acknowledgment']
681-0,9,*INV,['Acknowledgment']
684-0,0,*INV,['Instruction']
684-0,1,*INV,['Instruction']
684-0,2,*PAR,['Answer: t6']
684-0,3,*PAR,['Answer: t8']
684-0,4,*PAR,['Answer: t6']
684-0,5,*PAR,['Answer: t2']
684-0,6,*PAR,['Answer: t4']
684-0,7,*PAR,['Answer: t4']
684-0,8,*PAR,"['Answer: t8', 'Answer: t7', 'Answer: t4']"
684-0,9,*PAR,['Answer: t3']
684-0,10,*PAR,['Answer: t1']
684-0,11,*PAR,['Answer: t1']
684-0,12,*PAR,"['Answer: t3', 'Answer: t5', 'Answer: t6', 'Answer: t7', 'Answer: t8']"
684-0,13,*INV,['Instruction']
684-0,14,*PAR,['Acknowledgment']
684-0,15,*PAR,"['Answer: t1', 'Answer: t2']"
684-0,16,*PAR,['Answer: t6']
684-0,17,*PAR,"['Answer: t5', 'Answer: t8']"
684-0,18,*PAR,['Answer: t8']
684-0,19,*PAR,['Answer: t4']
684-0,20,*PAR,['Answer: t2']
684-0,21,*PAR,['Answer: General']
684-0,22,*INV,['Farewell']
684-0,23,*PAR,['Acknowledgment']
686-0,0,*INV,['Instruction']
686-0,1,*PAR,['Answer: t6']
686-0,2,*PAR,"['Answer: t6', 'Answer: t5']"
686-0,3,*PAR,['Answer: t4']
686-0,4,*PAR,['Answer: t2']
686-0,5,*PAR,['Answer: t1']
686-0,6,*PAR,['Answer: t3']
686-0,7,*PAR,['Answer: t1']
686-0,8,*PAR,['Answer: t1']
686-0,9,*PAR,['Answer: t1']
686-0,10,*PAR,['Answer: t1']
686-0,11,*PAR,"['Answer: t6', 'Answer: t5']"
686-0,12,*PAR,"['Answer: t6', 'Answer: t5']"
686-0,13,*INV,['Acknowledgment']
688-0,0,*INV,['Instruction']
688-0,1,*PAR,['Acknowledgment']
688-0,2,*INV,['Instruction']
688-0,3,*PAR,['Answer: General']
688-0,4,*PAR,['Answer: t4']
688-0,5,*PAR,['Answer: t4']
688-0,6,*PAR,"['Answer: t6', 'Answer: t5', 'Answer: t8']"
688-0,7,*PAR,['Answer: t6']
688-0,8,*PAR,"['Answer: t2', 'Answer: t1']"
688-0,9,*PAR,['Answer: t1']
688-0,10,*PAR,"['Answer: t2', 'Answer: t5', 'Answer: t1']"
688-0,11,*PAR,"['Answer: t2', 'Answer: t5', 'Answer: t1']"
688-0,12,*PAR,['Answer: General']
688-0,13,*INV,['Acknowledgment']
689-0,0,*INV,['Instruction']
689-0,1,*PAR,['Answer: t2']
689-0,2,*PAR,['Answer: t2']
689-0,3,*PAR,['Answer: t4']
689-0,4,*PAR,"['Answer: t5', 'Answer: t8']"
689-0,5,*PAR,"['Answer: t5', 'Answer: t8']"
689-0,6,*PAR,['Answer: t6']
689-0,7,*INV,['Acknowledgment']
690-0,0,*INV,['Instruction']
690-0,1,*INV,['Instruction']
